var_45,ordinal_position_data,int,artname,stat_code,raw_integer,stddev,correlation_14,word2vec,event,likelihood,v_633,semver,c_cor,swift,ksmpsa64,integer_22,iso_currency_code_v2,val_zs,NUMERIC_RANGE,val_corre,TRANSLATION,fchd84,val_atlj,c_gzl,bucket,jqa15,given_name,fact_standard_deviation,raw_schema_table_name,c_236,integer,partitionKey,binval,addressLine,src_decimal_float,col_vari,yyv37,binary,median_14,integer_2,image_embedding_14,fact_word_embedding,PARTITION_KEY,f_280,meta_586,fact_probability_confidence,INTEGER,probability_confidence_14,meanAverage,zip,raw_market_value,min_max,MAIDEN_NAME,standard_deviation_14,user_trend_growth_rate,correlation,f_role,probability_confidence_v2,duration,decimal_float_14,trend_growth_rate_14,standard_deviation_val,confidence_interval,MODIFIED_AT,customer_numeric_range,MEAN_AVERAGE,numeric_range_14,intval,col_wab,percentile_field,c_hds,mean,vital_sign_22,ordinal_position,image_embedding_val,standard_deviation
-11.08%,767,9680,Water Lilies,approved,3454,34.3369,-0.9716,"[-0.178, -0.1364, 0.9063, 0.4015, 1.0127, -0.4691, -0.9321, -0.3584]",Global Expo 2021,0.6388,E. coli,4.16.11,0.7071,322987134,"[-0.3221, -0.555, -0.1472, 0.048, -0.266, -0.2293, 0.9225, -0.5798]",7908,AUD,881,13-98,-0.9749,Namaste,4955-4177,30.3993,1,52.87,59.58,Jessica,28.2852,analytics.events,Major finding: data retention,6994,tenant=us-east,1,1130 Main St,6332.9591,"[10.31, 82.5]",NaCl,0,-82.7613,153,"[-0.6695, -0.0105, 0.7957, -0.8702, 0.0565, 1.014, -0.447, 0.3396]","[0.2957, -0.1615, -0.1257, -0.4861, -0.8987, 0.9874, 1.0331, -0.7024]",region=2024-01,Glass,33-68,0.9063,9909,0.2953,35.7022,91209,"$913,374,479",45-56,Martin,22.9351,16.9%,-0.715,Data Analyst,0.2755,27185,8662.4736,-30.71%,12.6135,"[19.05, 80.17]",2018-11-20 05:26:03,16-87,88.9218,39-64,1126,1.7408,65.53,"$1,223,352",-85.7691,BP 113/91 HR 65,71,"[0.1364, 0.0595, 0.9364, -0.1035, -0.2395, 0.2316, -0.4044, 0.019]",14.6941
-26.94%,773,7336,Starry Night,rejected,3095,37.824,-0.1364,"[0.3784, -1.2477, 0.4729, 2.1506, -1.6629, 0.3665, -0.884, -0.1254]",Annual Summit 2026,0.1259,NaCl,5.5.4,-0.8109,266531990,"[-0.5597, -0.0634, -1.2382, 0.1396, 0.1896, -0.1219, 0.8916, -0.6828]",6095,BRL,8815,12-86,0.6639,Hola,6647-6268,44.0177,0,25.03,27.43,Oliver,14.6777,public.users,Observation: backup schedule,4489,tenant=2024-01,0,5897 Elm St,536.8125,"[32.98, 96.79]",C6H12O6,0,-46.0233,4055,"[-0.6609, 0.8846, 0.181, 0.1076, 0.223, -0.5639, -0.8704, -0.8073]","[0.8262, 0.7975, 0.0993, -1.276, 1.2354, 0.6557, -0.5812, -0.5983]",dt=2024-01,Polyethylene,37-87,0.8154,9481,0.9007,62.7661,OI6 9LU,"$674,263,772",7-79,Lee,9.0438,-49.85%,-0.5631,Designer,0.3293,39602,9836.371,0.39%,39.2539,"[32.19, 68.26]",2019-06-23T02:02:55Z,28-82,26.5611,45-55,2842,3.3163,96.24,"$1,782,552",36.953,BP 140/84 HR 113,300,"[-0.1764, 0.3684, -1.1722, -0.9002, 0.1229, 0.3403, 0.1986, 0.2734]",0.8218
48.48%,283,1757,Water Lilies,approved,6560,26.701,0.6781,"[1.2292, 0.8288, -1.633, -1.2552, 0.4364, -0.1315, 0.7767, -0.3042]",Tech Conference 2022,0.7073,C6H12O6,1.0.73,-0.4426,325853476,"[-0.4355, 0.6242, -0.1056, -0.3621, -0.8128, -0.3962, 0.452, -0.1784]",7612,AUD,5463,20-76,-0.4662,Namaste,7380-9588,9.9077,0,57.8,73.6,Oliver,5.3006,public.users,Major finding: data retention,894,dt=2024-01,0,6130 Pine Rd,6673.8667,"[22.76, 82.77]",Fe2O3,1,-8.2659,2860,"[-0.6, -0.7746, -0.6306, 0.6865, 0.451, 0.1437, -0.5791, 0.3881]","[0.4554, -0.7597, -0.4865, -0.7838, 0.0378, 0.4696, 1.3033, 0.7272]",dt=2024-01,Steel,5-84,0.7378,1995,0.3794,22.6848,PY3 7EO,"$76,623,707",27-51,White,22.6697,-22.5%,0.1501,VP Engineering,0.5698,12161,-525.7472,-21.94%,25.3526,"[16.06, 79.25]",2021-02-16T00:02:45Z,7-64,41.2982,10-57,7628,9.0869,77.7,"$3,415,973",-81.4526,BP 115/98 HR 57,915,"[-0.2346, -0.5222, 0.2352, -0.0212, 0.5731, 0.5588, 0.1703, 0.9461]",6.5504
-29.13%,761,4618,Starry Night,cancelled,8909,4.8499,-0.2213,"[0.1568, -0.3043, 0.6241, -2.4057, 0.4045, 3.0173, 0.5838, -0.1512]",Global Summit 2026,0.0019,Fe2O3,4.15.0,-0.9435,578634382,"[0.3364, -0.1448, -0.1465, -0.3753, -0.2196, -0.311, 0.3053, -0.2134]",4965,CAD,2423,9-84,0.72,Konnichiwa,3699-6847,32.9693,0,2.94,3.16,Emily,20.661,public.users,Major finding: data retention,1139,region=us-east,1,4598 Pine Rd,-812.2037,"[12.82, 92.13]",C6H12O6,0,17.3005,3022,"[0.1794, 0.7539, -0.0394, -0.4401, -0.1464, -0.1297, 0.3713, 0.3197]","[-1.1704, 0.2202, -2.0204, -1.1757, 0.9591, -2.0419, -1.0218, -1.0288]",region=acme,Steel,36-88,0.685,1991,0.2254,17.777,NQ2 4YM,"$707,432,977",26-77,Walker,11.9395,-9.01%,-0.6026,Data Analyst,0.5157,83597,8419.9283,-38.68%,44.4906,"[9.7, 73.06]",2021-12-04 08:51:11,6-54,-64.9458,33-71,1829,8.8999,3.26,"$2,246,612",33.9718,BP 158/86 HR 117,597,"[-0.2189, -0.4272, 0.4372, 0.1259, -1.5879, -0.1628, -0.9603, 0.4467]",38.2338
35.45%,855,4986,The Persistence of Memory,cancelled,9285,18.5972,0.058,"[0.0951, -0.4952, -0.7633, -2.2878, 1.1233, -0.3109, 1.0032, 1.8105]",Annual Summit 2023,0.1022,H2O,5.13.84,-0.6342,686000415,"[-0.5738, -0.1063, 0.2261, 0.1534, 0.426, -0.6018, -1.1178, 0.2171]",1867,INR,3649,7-80,-0.7768,Namaste,8698-6020,44.1338,1,9.82,42.8,Robert,32.6595,hr.employees,Non-conformance: access control,9466,dt=us-east,0,1702 Pine Rd,9899.7274,"[8.11, 72.53]",C6H12O6,0,-10.7328,8070,"[0.3873, 0.5402, 0.3112, -0.1203, -0.2992, 0.0808, -0.3913, 1.0741]","[-0.3822, 0.5014, -0.0255, -0.5457, 0.0531, -0.2044, -0.2136, 1.2434]",tenant=acme,Steel,20-60,0.3945,1931,0.8939,-46.3919,25961,"$609,394,905",35-80,Moore,3.4466,8.45%,-0.1588,Product Manager,0.1106,51643,1388.9009,36.58%,44.713,"[13.24, 69.13]",2024-11-18T19:39:20Z,40-61,-9.5193,32-71,9388,8.1389,59.66,"$4,315,674",60.0477,BP 106/86 HR 106,455,"[-0.8861, 0.1932, -0.4229, -0.3527, 0.1205, -0.35, -0.6077, -1.3489]",3.6977
-2.33%,473,6908,The Scream,inactive,3639,30.2486,0.4133,"[-0.4572, 0.9001, -0.882, 1.1649, 0.3095, 0.1615, -0.0806, 0.541]",Global Conference 2022,0.4308,E. coli,2.3.89,0.7168,102165681,"[-0.759, -0.7787, -0.1895, 0.6932, -0.7253, 0.8352, -0.0739, -0.44]",1904,CHF,1042,1-88,-0.2478,Bonjour,2724-8630,14.1677,0,63.54,5.96,Olivia,42.8047,sales.orders,Major finding: data retention,6707,dt=acme,1,8164 Elm St,6360.2212,"[12.94, 80.44]",H2O,1,-54.9385,739,"[0.1316, -0.1966, 0.3321, -0.164, 0.4527, -0.1156, 0.2255, -0.9017]","[-0.2976, -0.723, -2.1508, -0.765, -1.6893, -0.4861, 1.1223, 1.7533]",tenant=acme,Titanium,28-72,0.8008,9326,0.1422,-83.0189,14303,"$718,711,123",21-79,Miller,28.81,6.84%,0.4182,Sales Rep,0.1554,31378,1067.5357,11.57%,13.2845,"[22.65, 87.77]",2018-12-15T14:23:02Z,11-92,-58.1094,30-73,5036,4.3658,86.94,"$2,869,644",17.2425,BP 94/89 HR 71,782,"[0.3329, -0.2181, 0.7943, 0.3514, -0.2041, -0.2506, 0.1735, -0.0232]",22.5259
-0.07%,199,1383,The Persistence of Memory,cancelled,4328,30.6823,-0.5759,"[1.2484, -0.0789, -0.6821, -0.99, -1.4808, -0.873, 0.4763, 1.2043]",Data Forum 2025,0.3354,E. coli,5.0.67,0.3193,711247393,"[-0.2588, -0.0111, -0.1373, 0.0992, 0.0046, 0.0875, 0.4709, -0.4758]",1952,AUD,8882,11-95,-0.1378,Bonjour,6871-9234,45.2895,1,3.68,72.89,Ethan,2.6627,sales.orders,Observation: backup schedule,3895,dt=us-east,0,9919 Maple Dr,5891.2509,"[39.05, 78.78]",H2O,0,70.153,1609,"[-0.9373, -0.6057, -0.2473, -0.3571, 0.3799, 0.3909, 0.4181, 0.7338]","[0.008, -0.8031, 1.1732, 1.8291, 0.1082, -0.713, 1.0808, -0.4803]",region=2024-01,Steel,25-100,0.7483,5882,0.6985,25.3149,WY5 5LY,"$876,954,971",12-73,Smith,13.9942,12.4%,-0.3479,Sales Rep,0.1664,72449,5550.5099,-49.74%,24.2006,"[35.77, 65.87]",2023-12-22T15:37:06Z,29-66,-53.473,35-78,2216,1.3391,19.46,"$4,783,553",95.4121,BP 104/94 HR 70,928,"[0.3192, -0.7305, -0.3929, 0.5467, 0.544, 0.2681, 0.6143, -0.2964]",45.3948
-12.38%,836,4256,The Scream,rejected,4855,49.284,-0.8764,"[-0.1268, 1.2048, -0.505, -0.5279, -1.4913, -0.9938, -1.3854, -0.6564]",Data Conference 2023,0.9485,C6H12O6,2.13.10,0.6263,036521487,"[-0.2898, -0.4376, -1.3006, 0.9078, 0.0362, 0.3987, 1.0839, 0.8395]",7302,INR,6269,34-61,-0.8899,Bonjour,4084-2117,22.2693,0,12.57,93.34,David,36.1532,hr.employees,Non-conformance: access control,8912,dt=2024-01,1,5188 Park Blvd,2445.4345,"[21.57, 72.44]",Fe2O3,1,-77.6219,5154,"[0.3694, -0.0794, -0.316, 1.3855, 0.3007, 0.2875, -0.1595, 0.8125]","[0.2854, -0.6048, -0.7757, -0.1947, -0.8863, 0.5625, 2.1596, 0.2105]",tenant=acme,Titanium,1-81,0.8824,2736,0.933,-2.2214,64298,"$622,152,087",20-98,Smith,5.4189,9.52%,0.8678,Software Engineer,0.5912,60236,9562.6501,33.61%,41.2389,"[13.37, 68.07]",2020-06-17T13:28:37Z,21-57,-77.3119,35-81,5706,8.3628,78.95,"$4,796,430",-14.0542,BP 180/104 HR 102,186,"[0.2134, -0.2046, 0.2455, -0.1482, -0.4095, 0.424, 0.2311, -0.257]",37.3722
-37.69%,213,7470,The Scream,failed,3337,48.515,0.9956,"[1.7427, 0.1974, -0.0682, -0.6705, -2.4045, -0.172, 0.2344, 0.9997]",Annual Summit 2026,0.0273,C6H12O6,1.7.71,0.852,471950580,"[0.3531, -1.0803, -1.0634, -0.0956, 1.1896, 0.4555, -0.1044, -0.0504]",46,GBP,6545,1-81,-0.4483,Bonjour,8565-5703,38.8881,0,35.25,12.62,Lucas,23.4491,sales.orders,Major finding: data retention,4479,region=us-east,1,8336 Oak Ave,7800.8604,"[5.16, 70.8]",C6H12O6,0,-22.2444,855,"[-0.0112, -0.3338, 0.3545, 0.5107, -0.9783, 0.7151, -1.2877, 0.1654]","[0.6603, 0.7112, -1.417, 0.1633, -0.2615, -0.6718, -1.0534, -0.3286]",dt=acme,Steel,8-74,0.3922,3886,0.5627,43.1656,BM6 4QI,"$439,475,727",34-93,Jones,20.0306,-37.03%,-0.2057,Product Manager,0.4777,14902,1587.6445,-14.21%,32.6501,"[0.99, 64.56]",2020-08-22 02:47:01,0-66,-69.6528,24-99,2310,2.7323,53.09,"$750,674",53.1431,BP 140/73 HR 107,509,"[-0.8452, 0.2176, -0.4869, -0.0542, -0.3157, -0.1647, 0.6932, 1.1029]",29.0519
-25.88%,90,2176,The Persistence of Memory,inactive,9447,18.5814,-0.3569,"[-0.1575, -0.5874, 1.0469, 0.0775, -2.4413, -1.3607, -0.6541, -3.2435]",Global Forum 2022,0.1329,H2O,4.18.91,-0.2403,114861689,"[-0.0047, 0.4311, 0.9464, 0.0921, -0.3963, -0.0405, 0.3784, 0.3239]",4873,AUD,373,18-77,-0.0248,Konnichiwa,5100-6953,39.3477,0,7.97,45.3,Lucas,47.0675,public.users,Non-conformance: access control,6860,dt=2024-01,0,931 Cedar Ln,735.2772,"[14.33, 96.73]",Fe2O3,1,-64.9571,5487,"[0.4689, -0.0584, -0.0739, -0.0842, -0.3152, 0.2692, 0.3551, -0.3496]","[-1.013, 1.5301, 0.1939, -0.2416, 0.2637, 1.1919, 0.3555, 0.9725]",tenant=acme,Steel,38-95,0.8666,4808,0.6985,-76.3853,16643,"$988,024,046",49-99,Harris,31.3301,-14.42%,-0.2873,Data Analyst,0.4388,73793,5386.5932,39.46%,41.596,"[0.53, 83.54]",2018-05-27T01:00:01Z,31-68,-7.4069,30-65,4515,8.5958,95.46,"$4,347,035",-40.4417,BP 133/107 HR 58,563,"[-0.5086, -0.0072, 0.0131, -0.0094, 0.2994, -1.3626, -0.5725, -0.4225]",34.7305
27.31%,185,950,Water Lilies,completed,6056,5.7539,0.913,"[0.4529, 2.5831, 0.0226, 0.6116, 0.3165, -0.8713, 0.7052, -0.5132]",Global Forum 2020,0.9045,E. coli,2.12.40,-0.6917,716206288,"[0.263, -0.6008, -0.0476, 0.2918, -0.436, 0.975, -0.675, -1.2219]",2195,USD,9840,40-79,-0.9627,Guten Tag,1074-1097,8.9313,0,53.89,65.47,Logan,7.3156,public.users,Observation: backup schedule,5526,tenant=acme,0,6804 Cedar Ln,6816.0674,"[12.59, 61.31]",E. coli,1,52.4818,5273,"[-0.5112, 0.1201, -0.2541, 0.111, 0.3387, 0.2663, 0.2179, 0.2097]","[1.0695, -0.4925, 0.907, 0.1622, 0.4569, -0.3406, 0.2995, -0.0315]",tenant=2024-01,Aluminum,31-93,0.0038,9321,0.692,-76.2518,83109,"$748,086,612",18-82,Brown,27.7598,35.81%,-0.5645,Sales Rep,0.4887,66479,8811.8268,45.38%,26.1671,"[7.58, 83.3]",2025-01-12 18:50:16,39-74,-12.9002,12-84,5400,9.6884,15.5,"$1,403,810",-15.4057,BP 103/101 HR 118,351,"[0.4616, 0.9195, -0.4627, 0.1422, -0.5322, -0.1501, 0.0917, -0.808]",41.2058
45.86%,159,7277,The Scream,pending,5032,5.9634,-0.5264,"[-0.0082, -0.2861, 2.5065, -1.1925, -0.6842, -0.048, -0.5445, 0.5277]",Data Conference 2021,0.8971,H2O,2.14.25,-0.6119,241198247,"[-0.733, -0.1487, -0.4984, -0.1515, -1.0197, -0.4233, -0.0761, 0.1873]",5681,EUR,6501,24-61,-0.6959,Namaste,9855-1262,10.259,0,10.65,5.53,Jennifer,20.6493,sales.orders,Non-conformance: access control,5383,region=us-east,0,885 Pine Rd,9764.0693,"[14.04, 69.32]",E. coli,1,76.2727,3936,"[0.2941, -0.1009, 0.1719, -0.4838, 0.5441, 0.2137, 0.0269, 0.2263]","[-0.4904, -0.0423, -2.1601, 1.2364, 0.2155, 0.1179, -0.4874, 0.0017]",region=us-east,Aluminum,22-77,0.6419,5845,0.2322,58.9121,28777,"$304,967,003",38-57,Smith,30.0044,-20.27%,-0.5364,Designer,0.2213,41933,9701.4388,-9.36%,39.0078,"[33.97, 67.3]",2018-08-04 17:22:04,14-75,30.3168,21-64,1014,2.5795,70.64,"$3,165,695",23.4832,BP 156/85 HR 78,173,"[0.6335, -1.2129, -0.5837, -0.1039, 0.5631, -0.1991, 0.1547, 0.1787]",40.0663
17.39%,302,6692,Starry Night,approved,8459,24.0953,-0.7874,"[1.7855, -0.7229, 0.2204, -0.4825, 1.6606, -0.6557, 0.9418, -2.5383]",Tech Expo 2025,0.5858,Homo sapiens,0.19.28,0.1621,118536124,"[0.0096, 0.0507, 0.0388, -0.0373, -0.7054, -0.0624, -0.013, -0.3925]",4363,GBP,6591,41-77,-0.9332,Konnichiwa,6516-2384,29.8617,1,4.97,70.56,Jennifer,20.7884,hr.employees,Non-conformance: access control,6875,tenant=acme,0,3491 Elm St,6464.0823,"[35.67, 79.07]",H2O,0,10.7152,6099,"[0.4548, 0.4069, -0.2601, 0.1618, 0.3652, -0.5498, -0.2311, -0.1349]","[-0.0665, 0.5217, 0.1793, -0.3064, -0.3111, 1.0999, 0.8534, 0.0807]",tenant=acme,Polyethylene,41-73,0.5192,5407,0.7141,-1.7896,59689,"$69,663,905",21-82,Davis,19.7272,39.97%,-0.3543,Designer,0.9725,16795,2617.7802,-42.75%,40.6595,"[13.95, 98.29]",2025-07-16 11:11:22,41-51,-49.6599,40-91,1773,3.3301,59.93,"$2,727,842",-33.8246,BP 166/82 HR 110,495,"[0.2678, 1.0056, -0.6916, 0.7543, 0.3687, -0.6771, 0.7319, -0.2425]",36.8334
48.66%,389,8658,The Persistence of Memory,cancelled,5690,3.9804,-0.0934,"[0.0942, -0.7142, -0.3503, 1.1287, -0.7718, 0.4971, -1.089, -0.1749]",Data Conference 2025,0.1302,NaCl,4.8.21,-0.0132,327711044,"[0.1951, 0.351, -0.0774, -0.1655, 0.0321, -0.4635, 0.6971, -0.5815]",4957,CAD,2904,42-97,0.4153,Guten Tag,9490-9953,35.1255,0,63.99,92.59,Harper,44.1036,public.users,Major finding: data retention,3558,region=acme,1,4013 Oak Ave,5867.247,"[30.3, 97.55]",NaCl,1,-81.7109,9280,"[-0.6119, -0.0771, 0.3763, -0.3573, 0.39, 0.5853, 0.1001, 0.7591]","[-0.7058, 0.858, -0.8848, 0.2525, -1.986, 0.3123, 0.3134, 0.0073]",region=us-east,Glass,31-79,0.935,831,0.1351,-87.0662,85634,"$273,716,646",32-83,Johnson,13.8445,-34.94%,-0.7322,Designer,0.7523,78441,1593.0617,11.98%,6.7574,"[1.84, 91.44]",2025-11-23T03:50:05Z,50-95,-41.1565,46-58,7483,0.3988,21.52,"$2,965,147",15.2805,BP 112/94 HR 55,54,"[-1.1346, -0.1499, 0.635, 0.1517, 0.0487, -0.6056, 0.7994, 0.6463]",36.215
-18.85%,214,4287,The Persistence of Memory,cancelled,1660,12.8674,0.7913,"[-0.1962, -0.9843, -1.0827, 0.7662, 0.2718, -1.1133, 1.4042, -0.2498]",Annual Expo 2023,0.155,C6H12O6,4.17.69,-0.3197,659219485,"[-0.1478, -0.1584, -0.082, 1.2626, -0.2733, 0.4021, -0.0758, -1.1615]",9484,BRL,6942,25-64,-0.7553,Guten Tag,4083-1713,23.1337,1,42.58,61.88,John,13.1015,analytics.events,Non-conformance: access control,1196,dt=acme,1,2754 Cedar Ln,-656.9711,"[18.33, 93.35]",E. coli,0,-2.4739,150,"[0.1676, -0.1653, 0.3472, 0.3371, -0.1925, 0.1748, 1.2725, -1.1313]","[-0.2403, 0.2419, -0.0375, -0.096, -0.301, -0.8569, -0.2566, 0.8774]",dt=us-east,Polyethylene,4-74,0.1967,1354,0.9438,14.8154,36732,"$731,474,378",44-96,Taylor,46.9199,2.22%,-0.297,Designer,0.0705,40612,6395.9858,-3.64%,11.3984,"[10.94, 86.87]",2024-09-04 00:57:18,3-71,2.2979,22-89,4812,3.5589,59.13,"$1,253,251",-75.2549,BP 108/86 HR 60,839,"[-0.7547, 0.5406, -0.3975, -0.3756, 0.0659, -0.275, -0.029, -0.1421]",41.3967
-11.61%,641,1711,The Persistence of Memory,active,188,49.1343,-0.5642,"[-1.4012, 0.1153, -0.394, -0.8582, 0.251, -0.7961, 0.9174, -1.3111]",Annual Expo 2022,0.5096,E. coli,3.1.27,0.9428,521623590,"[0.4065, -0.3478, 0.0103, 0.6136, -0.3815, 0.2508, 0.0835, -0.7101]",538,JPY,704,25-86,0.4671,Hola,7158-3933,5.4988,0,16.09,97.03,Mason,48.9626,hr.employees,Major finding: data retention,2051,tenant=us-east,0,1796 Elm St,1014.197,"[12.2, 72.52]",E. coli,0,-66.0942,6888,"[0.5841, -0.3827, 0.919, 0.0508, 0.5289, 0.0569, 0.8723, 0.2171]","[1.0797, -1.1494, 0.9902, 0.2826, 0.3161, 0.0783, 1.1451, 0.3187]",tenant=us-east,Aluminum,5-72,0.4121,9463,0.2287,-9.6048,AB4 3KY,"$953,184,111",4-68,Thompson,12.4746,11.9%,-0.1271,VP Engineering,0.8865,54694,-642.123,25.04%,5.8691,"[13.76, 69.99]",2021-02-13 02:14:49,29-87,62.028,0-51,665,1.2244,90.45,"$3,802,248",-2.7276,BP 148/87 HR 112,357,"[-0.6625, -0.2195, 0.1348, 0.0929, -0.4634, 0.2249, -0.1145, 0.4581]",31.8657
-6.35%,729,5433,Water Lilies,pending,4632,18.943,-0.4179,"[0.6349, -0.9765, -1.1467, -0.327, 2.0383, 1.2147, -0.7065, 1.0929]",Global Summit 2025,0.5765,C6H12O6,4.18.91,0.5769,140226381,"[0.1132, -0.1342, -0.29, -0.3089, 0.3231, -0.6591, -0.7991, 0.2413]",5491,EUR,3631,26-85,-0.4014,Hola,3758-5212,21.3374,0,31.27,76.17,Susan,23.6413,sales.orders,Non-conformance: access control,4446,tenant=us-east,0,5399 Elm St,8213.3721,"[11.17, 99.07]",H2O,1,-48.6642,9508,"[-0.5184, 0.2838, 0.3821, 0.2966, -0.2569, -0.4157, 0.3687, -0.1717]","[-0.9984, 0.0244, -0.7402, -0.1965, -1.0582, -0.6283, -0.8862, 2.0803]",dt=acme,Steel,49-69,0.9218,5620,0.2698,5.2457,IB9 8QO,"$267,343,377",34-63,Anderson,46.9723,48.6%,0.0645,Sales Rep,0.2051,27824,730.3863,-27.64%,27.9797,"[20.88, 96.5]",2023-09-20T23:57:07Z,49-64,-33.8354,39-90,6288,0.2665,14.34,"$1,659,891",58.798,BP 127/80 HR 58,950,"[-0.2323, -0.0468, 0.4463, -1.07, 0.6149, -0.2886, -0.0247, -0.4435]",26.5912
-28.8%,500,6935,The Persistence of Memory,failed,3530,18.6641,-0.1779,"[0.0875, 0.2436, -0.8807, 0.9467, -0.0784, -1.4436, -0.0405, 0.55]",Annual Summit 2026,0.9079,Fe2O3,0.8.84,0.168,252665192,"[0.5512, 0.156, -0.3493, -0.7257, 0.0017, -0.4612, 0.8755, -0.1392]",6214,CAD,1294,47-58,0.1936,Konnichiwa,9243-1017,13.3686,0,63.84,67.79,Noah,48.4065,sales.orders,Non-conformance: access control,5771,dt=us-east,0,2433 Maple Dr,6229.3114,"[8.58, 93.59]",H2O,0,-1.5695,1432,"[-0.5613, 0.5571, 1.2452, -0.6974, -0.2139, -0.3394, 0.3639, 0.1336]","[-0.1442, -0.3366, -0.8729, 2.4736, 2.1743, 1.05, 0.6396, 1.2925]",dt=us-east,Carbon Fiber,45-90,0.3002,6136,0.1027,48.5871,87334,"$899,371,162",10-57,Davis,29.5119,-33.97%,0.6708,Software Engineer,0.5076,43848,5518.3269,-23.99%,12.9943,"[3.95, 65.13]",2024-09-23T12:03:50Z,8-62,-28.6669,37-83,2481,5.8806,57.12,"$4,154,107",-1.6761,BP 165/63 HR 93,598,"[-0.0014, 0.5701, -0.5854, 1.1924, -0.2692, 0.0155, -0.8305, 0.0958]",14.63
33.38%,754,9347,Starry Night,completed,722,31.0185,-0.7985,"[-0.9775, -0.0853, 0.1181, 0.1659, -0.9387, 0.3025, -0.8878, -0.4617]",Tech Conference 2025,0.138,NaCl,4.5.21,0.732,787854824,"[0.4494, -0.5885, -0.0754, 0.5886, 0.3552, -0.6428, 0.2835, 0.2413]",4112,CAD,8830,21-68,0.1921,Bonjour,9678-7482,35.6823,1,19.58,96.58,Harper,36.0429,analytics.events,Major finding: data retention,6604,dt=acme,1,6444 Main St,4490.8915,"[18.7, 72.23]",Homo sapiens,1,-10.0493,8881,"[-0.4665, 0.2595, 0.306, 0.6643, -0.3137, 0.1819, 0.1187, 0.2055]","[-1.899, -1.4186, -0.0624, 1.0013, 0.0468, -1.0376, 2.6807, 0.9613]",tenant=us-east,Glass,45-53,0.7506,3663,0.8255,-15.3443,NR7 8DD,"$710,320,808",21-90,Clark,2.7551,-12.53%,0.5517,VP Engineering,0.6509,54589,7782.6822,-39.69%,13.7614,"[26.39, 60.56]",2026-03-12T13:50:25Z,28-91,-88.8664,8-63,3667,0.4417,92.26,"$4,773,939",-48.6425,BP 119/71 HR 89,407,"[-0.4948, -0.0508, 0.9009, 0.1243, 0.3002, 0.4523, 0.0713, 0.4697]",19.5929
-33.59%,345,5310,Water Lilies,cancelled,1812,3.8024,0.5642,"[-2.224, -1.075, -0.2557, -0.616, -1.4215, 0.6208, -2.8321, 1.2547]",Data Summit 2022,0.1333,Fe2O3,0.7.10,-0.0833,153690662,"[-0.2767, 1.2276, -0.175, 0.0601, -0.658, -0.5316, -0.1254, -0.0298]",5928,INR,6017,6-83,-0.1391,Konnichiwa,4782-2821,29.6252,1,13.33,4.2,Sophia,32.9209,analytics.events,Non-conformance: access control,8103,tenant=us-east,0,6324 Cedar Ln,1668.1509,"[37.63, 90.06]",H2O,0,-76.1222,2932,"[-0.4378, -0.2231, 0.0761, -0.7706, 0.8051, -0.2473, 0.9197, 0.7161]","[1.2304, 0.0414, -1.3345, -1.9862, 0.337, 0.7654, 0.5539, -0.0744]",region=us-east,Aluminum,33-90,0.7308,2176,0.5672,63.2713,US4 6QM,"$976,275,191",32-62,Brown,17.9614,-43.95%,-0.6103,Product Manager,0.6257,2556,4005.2631,16.96%,3.8116,"[18.02, 83.47]",2022-07-09 12:33:43,30-88,91.615,37-86,6719,3.7046,42.5,"$4,494,941",-48.6842,BP 159/72 HR 61,868,"[0.3564, -0.6006, 0.3415, 0.0648, 0.3931, -0.2654, 0.6443, 0.2471]",10.4189
35.22%,449,4751,The Persistence of Memory,approved,3565,41.0478,0.0964,"[0.1961, 0.1699, 1.6542, 1.1072, -0.8164, 1.1179, 0.9587, 0.1807]",Global Forum 2025,0.4428,H2O,0.9.28,0.753,721707649,"[-0.2045, -1.0629, 0.2349, -0.0631, -0.4783, -0.6534, -0.3043, -0.3267]",513,USD,2070,31-60,0.7112,Guten Tag,1946-9782,49.8824,1,88.14,97.33,Michael,26.1724,public.users,Non-conformance: access control,978,dt=2024-01,0,4726 Maple Dr,9958.4702,"[24.21, 66.71]",C6H12O6,0,-70.0339,1520,"[0.2219, 0.1903, -0.4701, -0.5982, -0.4515, -0.007, 0.2404, 0.8345]","[-0.9242, 1.0226, 1.173, -1.1696, -0.4137, -0.6133, -1.7681, -0.2753]",region=2024-01,Steel,22-92,0.9343,963,0.4084,62.8602,84117,"$655,798,485",4-91,Harris,41.7504,21.35%,-0.4245,VP Engineering,0.5915,36048,8581.5045,-13.52%,45.9155,"[0.89, 83.07]",2023-01-22T12:07:32Z,8-85,-29.5508,24-62,1955,7.9828,38.81,"$2,257,785",15.2516,BP 171/83 HR 118,819,"[0.1427, 0.6435, -0.3078, 0.3649, 0.0243, -0.0128, -0.1906, -0.5236]",40.8897
